order_id,customer,amount,date
1,Alice,120.5,2025-01-01
2,Bob,75.0,2025-01-02
3,Charlie,230.0,2025-01-03
4,Diana,15.0,2025-01-04
5,Alice,120.5,2025-01-05
6,Bob,75.0,2025-01-06
7,Charlie,230.0,2025-01-07
8,Diana,15.0,2025-01-08
9,Alice,120.5,2025-01-09
10,Bob,75.0,2025-01-10
11,Charlie,230.0,2025-01-11
12,Diana,15.0,2025-01-12
13,Alice,120.5,2025-01-13
14,Bob,75.0,2025-01-14
15,Charlie,230.0,2025-01-15
16,Diana,15.0,2025-01-16
17,Alice,120.5,2025-01-17
18,Bob,75.0,2025-01-18
19,Charlie,230.0,2025-01-19
20,Diana,15.0,2025-01-20
